batting_team,bowling_team,venue,runs,wickets,overs,runs_last_5,wickets_last_5,crr,overs_left,wkts_in_hand,in_powerplay,remaining_runs
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,106,3,14.0,38.0,3.0,7.571428571428571,6.0,7,0,40
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,112,3,15.0,38.0,1.0,7.466666666666667,5.0,7,0,34
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,119,3,16.0,42.0,1.0,7.4375,4.0,7,0,27
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,124,4,17.0,38.0,2.0,7.294117647058823,3.0,6,0,22
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,130,5,18.0,36.0,3.0,7.222222222222222,2.0,5,0,16
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,141,6,19.0,35.0,3.0,7.421052631578948,1.0,4,0,5
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",6,1,1.0,6.0,1.0,6.0,19.0,9,1,170
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",17,1,2.0,17.0,1.0,8.5,18.0,9,1,159
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",25,1,3.0,25.0,1.0,8.333333333333334,17.0,9,1,151
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",27,1,4.0,27.0,1.0,6.75,16.0,9,1,149
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",39,1,5.0,39.0,1.0,7.8,15.0,9,1,137
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",42,2,6.0,36.0,1.0,7.0,14.0,8,1,134
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",43,2,7.0,26.0,1.0,6.142857142857143,13.0,8,0,133
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",47,2,8.0,22.0,1.0,5.875,12.0,8,0,129
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",55,2,9.0,28.0,1.0,6.111111111111111,11.0,8,0,121
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",67,2,10.0,28.0,1.0,6.7,10.0,8,0,109
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",73,3,11.0,31.0,1.0,6.636363636363637,9.0,7,0,103
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",85,3,12.0,42.0,1.0,7.083333333333333,8.0,7,0,91
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",95,3,13.0,48.0,1.0,7.3076923076923075,7.0,7,0,81
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",98,3,14.0,43.0,1.0,7.0,6.0,7,0,78
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",105,3,15.0,38.0,1.0,7.0,5.0,7,0,71
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",117,3,16.0,44.0,0.0,7.3125,4.0,7,0,59
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",126,3,17.0,41.0,0.0,7.411764705882353,3.0,7,0,50
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",139,3,18.0,44.0,0.0,7.722222222222222,2.0,7,0,37
